,영화명,조회수 합,조회수 평균
0,#살아있다,2955998,295599.8
1,1917,787714,78771.4
2,82년생 김지영,3722539,372253.9
3,가장 보통의 연애,396635,39663.5
4,강철비2: 정상회담,2405868,240586.8
5,걸캅스,1708096,170809.6
6,검객,1976717,197671.7
7,겨울왕국 2,98141742,9814174.2
8,결백,231242,23124.2
9,국제수사,353518,35351.8
10,그린랜드,643231,64323.1
11,극한직업,6169458,616945.8
12,기생충,19744174,1974417.4
13,나쁜 녀석들: 더 무비,4104395,410439.5
14,나쁜 녀석들: 포에버,624492,62449.2
15,나의 특별한 형제,234167,23416.7
16,남산의 부장들,5787383,578738.3
17,내가 죽던 날,134555,13455.5
18,내안의 그놈,354977,35497.7
19,다만 악에서 구하소서,4788715,478871.5
20,닥터 두리틀,552122,55212.2
21,담보,522067,52206.7
22,도굴,3494663,349466.3
23,돈,1261501,126150.1
24,드래곤 길들이기 3,2839824,283982.4
25,라이온 킹,9310412,931041.2
26,런,1986026,198602.6
27,롱 리브 더 킹: 목포 영웅,684833,68483.3
28,마이펫의 이중생활 2,1942573,194257.3
29,말레피센트 2,3616375,361637.5
30,말모이,243075,24307.5
31,뮬란,4102717,410271.7
32,미드웨이,2788655,278865.5
33,미스터 주: 사라진 VIP,290841,29084.1
34,반도,5815092,581509.2
35,밤쉘: 세상을 바꾼 폭탄선언,79679,7967.9
36,백두산,6747189,674718.9
37,버즈 오브 프레이(할리 퀸의 황홀한 해방),2235635,223563.5
38,변신,1698490,169849.0
39,봉오동 전투,1462166,146216.6
40,분노의 질주: 홉스&쇼,2095925,209592.5
41,블랙머니,825767,82576.7
42,뺑반,484996,48499.6
43,사라진 시간,479967,47996.7
44,사바하,4097225,409722.5
45,사자,761835,76183.5
46,삼진그룹 영어토익반,2406781,240678.1
47,생일,1325491,132549.1
48,소리도 없이,460442,46044.2
49,스타워즈: 라이즈 오브 스카이워커,1131353,113135.3
50,스파이 지니어스,417378,41737.8
51,스파이더맨: 파 프롬 홈,6476941,647694.1
52,시동,1021174,102117.4
53,신비아파트 극장판 하늘도깨비 대 요르문간드,2804636,280463.6
54,신의 한 수: 귀수편,3519754,351975.4
55,아쿠아맨,9778187,977818.7
56,악인전,710687,71068.7
57,알라딘,48941252,4894125.2
58,알리타: 배틀 엔젤,10869140,1086914.0
59,어벤져스: 엔드게임,30475747,3047574.7
60,어스,2868943,286894.3
61,엑시트,4084363,408436.3
62,오! 문희,175489,17548.9
63,오케이 마담,578481,57848.1
64,온워드: 단 하루의 기적,980926,98092.6
65,원더 우먼 1984,3762763,376276.3
66,위대한 쇼맨,48248281,4824828.1
67,유열의 음악앨범,1849716,184971.6
68,이웃사촌,289643,28964.3
69,인비저블맨,524493,52449.3
70,작은 아씨들,1097268,109726.8
71,장사리 : 잊혀진 영웅들,517644,51764.4
72,정직한 후보,281953,28195.3
73,조제,602745,60274.5
74,조커,10304965,1030496.5
75,존 윅 3: 파라벨룸,930606,93060.6
76,주먹왕 랄프 2: 인터넷 속으로,2111885,211188.5
77,쥬만지: 넥스트 레벨,866380,86638.0
78,증인,982624,98262.4
79,지푸라기라도 잡고 싶은 짐승들,2188076,218807.6
80,천문: 하늘에 묻는다,3752322,375232.2
81,침입자,510719,51071.9
82,캡틴 마블,8130267,813026.7
83,클로젯,364742,36474.2
84,타짜: 원 아이드 잭,3380806,338080.6
85,터미네이터: 다크 페이트,3831884,383188.4
86,테넷,4943375,494337.5
87,토이 스토리 4,7149811,714981.1
88,퍼펙트맨,185158,18515.8
89,포드 V 페라리,358050,35805.0
90,프리즌 이스케이프,3479761,347976.1
91,항거:유관순 이야기,669208,66920.8
92,해치지않아,537360,53736.0
93,히트맨,509315,50931.5
94,"힘을 내요, 미스터 리",214374,21437.4
